item_code,item_name,description,brand,item_group,stock_uom,uom_conversions,barcode,manufacturer_part_no,disabled,available_qty,list_price
NRD-PRAW0099-OLD,Sisu Prawn 21/25 1kg,"Prawn 21/25, pack: 1kg. Brand Sisu. Sold per Kg. (superseded)",Sisu,All Items > Frozen > Prawn,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",920018244467,SIS355258,1,0,304.07
NRD-FULL0120,Nordvik Full Cream Milk Fresh 1L,"Full Cream Milk Fresh, pack: 1L. Brand Nordvik. Sold per Nos.",Nordvik,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",938808199340,,0,12,165.7
NRD-POTA0139,Golden Pantry Potato Fries Crinkle 1kg,"Potato Fries Crinkle, pack: 1kg. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",950227298021,,0,3,204.4
NRD-BEEF0270,Sisu Beef Patty 150g 48s,"Beef Patty 150g, pack: 48s. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,,0,0,421.4
NRD-BUTT0093,Golden Pantry Butter Unsalted Sheet 250g,"Butter Unsalted Sheet, pack: 250g. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,,0,3,99.97
NRD-SALM0142B,Nordvik Salmon Fillet Portion 5kg (Bulk),"Salmon Fillet Portion, pack: 5kg. Brand Nordvik. Sold per Kg.",Nordvik,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":144.0}]",937358861472,,0,12,16.69
NRD-SALM0449,Sisu Salmon Fillet Portion 5kg,"Salmon Fillet Portion, pack: 5kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",975385292179,SIS262932,0,0,455.22
NRD-VANI0424,Nordvik Vanilla Ice Cream Tub 1L,"Vanilla Ice Cream Tub, pack: 1L. Brand Nordvik. Sold per Nos.",Nordvik,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",922233676893,,0,900,462.99
NRD-SALM0299,Nordvik Salmon Fillet Trim D 1kg,"Salmon Fillet Trim D, pack: 1kg. Brand Nordvik. Sold per Kg.",Nordvik,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,12,105.69
NRD-FULL0203,Nordvik Full Cream Milk UHT 1L,"Full Cream Milk UHT, pack: 1L. Brand Nordvik. Sold per Nos.",Nordvik,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",997373387667,NOR029877,0,150,233.76
NRD-POTA0103,Nordvik Potato Fries Wedge 2.5kg,"Potato Fries Wedge, pack: 2.5kg. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,,0,150,400.98
NRD-BEEF0423,Cape Bay Beef Patty 200g 48s,"Beef Patty 200g, pack: 48s. Brand Cape Bay. Sold per Packet.",Cape Bay,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",901811962090,CAP937013,0,3,233.7
NRD-PUFF0426,Golden Pantry Puff Pastry Sheet 2kg,"Puff Pastry Sheet, pack: 2kg. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",,,0,900,157.91
NRD-CHIC0020,Sisu Chicken Breast Strips 1kg,"Chicken Breast Strips, pack: 1kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",955330395796,SIS702209,0,150,342.26
NRD-BEEF0057,Golden Pantry Beef Patty 100g 24s,"Beef Patty 100g, pack: 24s. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,12,100.5
NRD-CHIC0324-OLD,Fjordal Chicken Breast Whole 2kg,"Chicken Breast Whole, pack: 2kg. Brand Fjordal. Sold per Kg. (superseded)",Fjordal,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,1,0,106.56
NRD-BUTT0336,Sisu Butter Unsalted Block 250g,"Butter Unsalted Block, pack: 250g. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",910670265095,SIS662843,0,0,387.94
NRD-MOZZ0109,Cape Bay Mozzarella Block 2kg,"Mozzarella Block, pack: 2kg. Brand Cape Bay. Sold per Kg.",Cape Bay,All Items > Frozen > Mozzarella,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,CAP907866,0,900,414.81
NRD-SQUI0089,Cape Bay Squid Ring Breaded 2kg,"Squid Ring Breaded, pack: 2kg. Brand Cape Bay. Sold per Kg.",Cape Bay,All Items > Frozen > Squid Ring,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",912516277209,,0,0,283.09
