tenant,customer_id,customer_sku,item_code,customer_description,valid_from,valid_to,source,confidence
nordic,CUST-001,001914391,NRD-PRAW0097,fjordal prawn,2026-01-01,,confirmed_order,1.0
acme,CUST-001,001444143,ACM-SELF0590,TOLSEN SELF DRILLING SCREW #10 410,2026-01-01,,inferred_match,1.0
nordic,CUST-007,NRD-FULL0070,NRD-PUFF0068,SISU PUFF PASTRY,2026-01-01,,confirmed_order,1.0
acme,CUST-003,003793659,ACM-ANGL0502,"ANGLE DISC 7"" GRINDING",2026-01-01,,inferred_match,1.0
acme,CUST-003,003460286,ACM-HEXB0320,hitex hex bolt stainless 316,2026-01-01,,confirmed_order,1.0
nordic,CUST-002,002276764,NRD-BEEF0259-OLD,Fjordal Patty 200g 48s,2026-01-01,,manual_import,1.0
nordic,CUST-002,002672591,NRD-PUFF0258,NORDVIK PUFF PASTRY,2026-01-01,,confirmed_order,1.0
acme,CUST-004,004462718,ACM-SAFE0863,KANTO SAFETY HELMET RATCHET,2026-01-01,,confirmed_order,1.0
acme,CUST-008,008569215,ACM-CABL0499,Vermont Cable Tie 150Mm Black,2026-01-01,,confirmed_order,0.72
nordic,CUST-005,005797089,NRD-SALM0050,Cape Bay Salmon Fillet D 3Kg,2026-01-01,,manual_import,1.0
acme,CUST-001,001641929,ACM-PVCP0700,tolsen pvc 50mm class e,2026-01-01,,inferred_match,1.0
acme,CUST-006,006397294,ACM-HEXB0155,HEX M6X30,2026-01-01,,confirmed_order,1.0
nordic,CUST-001,001815272,NRD-BEEF0259-OLD,Fjordal Beef Patty 48s,2026-01-01,,manual_import,1.0
nordic,CUST-006,006559060,NRD-BEEF0187,golden pantry fillet d,2026-01-01,2026-03-31,manual_import,0.72
acme,CUST-008,008379281,ACM-WALL0330,Stallion Plug 12Mm Blue,2026-01-01,,confirmed_order,1.0
nordic,CUST-003,003306026,NRD-PUFF0078-OLD,Nordvik Puff Pastry Sheet,2026-01-01,,manual_import,1.0
nordic,CUST-007,007049218,NRD-MOZZ0143,Fjordal Mozzarella Shredded,2026-01-01,,confirmed_order,1.0
nordic,CUST-004,004411685,NRD-POTA0272,Sisu Potato Fries,2026-01-01,,confirmed_order,0.55
nordic,CUST-001,NRD-VANI0135,NRD-CHIC0008,Sisu Chicken Breast Strips 2Kg,2026-01-01,,confirmed_order,1.0
nordic,CUST-008,008704474,NRD-BEEF0046,golden pantry beef 200g 12s,2026-01-01,,confirmed_order,0.55
acme,CUST-002,002193862,ACM-HEXB1059,hex bolt m8x50 hdg,2026-01-01,,inferred_match,0.55
nordic,CUST-004,004077834,NRD-CHIC0324,FJORDAL CHICKEN BREAST 2KG,2026-01-01,,confirmed_order,1.0
nordic,CUST-006,006435030,NRD-CHIC0253-OLD,Nordvik Chicken Breast 5kg,2026-01-01,,manual_import,1.0
acme,CUST-006,NRD-WALL0324,ACM-BALL0173,TOLSEN BALL VALVE,2026-01-01,,manual_import,0.55
acme,CUST-008,008608807,ACM-HEXB0603,Stallion Bolt M10X50 Hdg,2026-01-01,,manual_import,1.0
acme,CUST-005,005150630,ACM-PVCP0284,bosco pvc pipe c,2026-01-01,,confirmed_order,0.72
acme,CUST-001,001980946,ACM-HEXB1063,bolt m6x30,2026-01-01,,confirmed_order,1.0
acme,CUST-002,002579405,ACM-ANGL0265,"Vermont Grinder Disc 5"" Flap",2026-01-01,,manual_import,1.0
acme,CUST-002,002028850,ACM-NITR0470,bosco nitrile l blue,2026-01-01,,confirmed_order,1.0
nordic,CUST-004,004856772,NRD-PRAW0450,CAPE BAY 31/40,2026-01-01,,confirmed_order,1.0
acme,CUST-004,004750465,ACM-WALL0730-OLD,Vermont Wall Plug 10mm,2026-01-01,,manual_import,1.0
acme,CUST-001,001550468,ACM-CABL0967,CABLE TIE 100MM WHITE,2026-01-01,,confirmed_order,1.0
acme,CUST-006,006550390,ACM-HEXB0357,kanto,2026-01-01,,inferred_match,0.72
acme,CUST-006,006572787,ACM-WALL0398,BOSCO WALL PLUG 12MM BLUE,2026-01-01,,manual_import,1.0
acme,CUST-008,008981867,ACM-NITR0903-OLD,Nitrile Glove Blue,2026-01-01,,manual_import,1.0
acme,CUST-008,008113383,ACM-SAFE0564,Kanto Hex Bolt M6X50 Stainless,2026-01-01,2026-03-31,manual_import,0.72
nordic,CUST-003,003804145,NRD-SALM0100,NORDVIK FILLET SIDE,2026-01-01,,confirmed_order,0.55
acme,CUST-001,001349610,ACM-NITR0487,Stallion Nitrile Glove S,2026-01-01,,confirmed_order,0.72
nordic,CUST-005,005930696,NRD-CHIC0268,Sisu Breast Diced 2Kg,2026-01-01,,manual_import,0.72
acme,CUST-002,002100790,ACM-NITR0344,NITRILE GLOVE S BLUE,2026-01-01,,confirmed_order,0.55
acme,CUST-008,008119775,ACM-HEXB0332,HEX M12X60 ZINC PLATED,2026-01-01,,confirmed_order,1.0
nordic,CUST-006,006347424,NRD-FULL0339,full milk,2026-01-01,,confirmed_order,1.0
acme,CUST-002,002041858,ACM-PVCP1055B,Vermont Pvc Pipe 50Mm Class (Bulk),2026-01-01,,manual_import,0.72
acme,CUST-004,004444887,ACM-CABL1080,HITEX CABLE TIE 300MM NATURAL,2026-01-01,,inferred_match,0.72
nordic,CUST-004,004281420,NRD-BEEF0255,SISU BEEF PATTY 150G 12S,2026-01-01,,confirmed_order,1.0
acme,CUST-006,006426130,ACM-BALL0525,"VERMONT BALL VALVE 2"" SS304",2026-01-01,,confirmed_order,1.0
nordic,CUST-007,007867982,NRD-PUFF0166,block 1kg,2026-01-01,,confirmed_order,0.72
nordic,CUST-006,006703262,NRD-PRAW0055-OLD,Bay 2kg,2026-01-01,,manual_import,1.0
acme,CUST-005,005960593,ACM-CABL0588,BOSCO CABLE TIE 370MM BLACK,2026-01-01,,inferred_match,1.0
acme,CUST-008,008963914,ACM-SELF0457,"self drilling screw #12 x 2"" zinc plated",2026-01-01,,manual_import,1.0
acme,CUST-002,002497349,ACM-HEXB0971,M12X60 ZINC PLATED,2026-01-01,,inferred_match,1.0
nordic,CUST-002,002224218,NRD-PRAW0224,fjordal prawn 31/40 2kg,2026-01-01,,confirmed_order,0.72
nordic,CUST-004,004840177,NRD-CHIC0043,breast diced 1kg,2026-01-01,,confirmed_order,0.55
acme,CUST-004,004132891,ACM-HOSE0980B,Bosco Hose Clip 19-25Mm,2026-01-01,,confirmed_order,1.0
nordic,CUST-007,007698541,NRD-BEEF0301,NORDVIK PATTY 48S,2026-01-01,,inferred_match,0.72
acme,CUST-004,004305778,ACM-SAFE0984,REMAX HELMET YELLOW STANDARD,2026-01-01,,inferred_match,1.0
acme,CUST-004,NRD-HEXB0803,ACM-HEXB0780,bosco bolt m6x50 stainless 304,2026-01-01,,manual_import,1.0
acme,CUST-003,003349465,ACM-PVCP0896,Pvc Pipe 15Mm Class C,2026-01-01,,confirmed_order,1.0
nordic,CUST-001,001193619,NRD-BEEF0476,Fjordal Beef Patty 150G,2026-01-01,,confirmed_order,0.55
acme,CUST-002,002634861,ACM-ANGL0343,"angle grinder 4.5""",2026-01-01,,confirmed_order,1.0
acme,CUST-006,006712028,ACM-SELF0746,"kanto self drilling #12 x 2"" zinc plated",2026-01-01,,manual_import,0.55
acme,CUST-002,002469423,ACM-HOSE0704,Clip 19-25Mm Zinc,2026-01-01,,inferred_match,0.72
acme,CUST-006,006508136,ACM-BALL0954-OLD,Ball SS304,2026-01-01,,manual_import,1.0
acme,CUST-008,008189630,ACM-ANGL0598,"GRINDER DISC 7"" GRINDING",2026-01-01,,confirmed_order,0.72
nordic,CUST-001,001748249,NRD-WHIP0334B,Cream 38% 1L,2026-01-01,,confirmed_order,0.55
acme,CUST-005,005541584,ACM-MASK0784,vermont masking tape 24mm high temp,2026-01-01,,confirmed_order,0.55
acme,CUST-007,007537601,ACM-CABL0095,cable,2026-01-01,,manual_import,1.0
acme,CUST-004,004954508,ACM-HOSE1069,Stallion Hose 25-38Mm,2026-01-01,,manual_import,0.55
nordic,CUST-007,007143621,NRD-CHIC0248,Sisu Chicken Whole 5Kg,2026-01-01,,inferred_match,0.55
acme,CUST-004,004954959,ACM-HEXB0762-OLD,Bosco Hex Bolt M12x60 Stainless 304,2026-01-01,,manual_import,1.0
acme,CUST-008,NRD-GIWI0663,ACM-ANGL0522,"TOLSEN ANGLE GRINDER 4"" CUTTING",2026-01-01,,manual_import,0.55
nordic,CUST-007,007414201,NRD-POTA0173,sisu fries 1kg,2026-01-01,,manual_import,1.0
acme,CUST-008,008705592,ACM-BALL0682,Vermont Ball Pvc,2026-01-01,,confirmed_order,0.72
acme,CUST-003,003173404,ACM-MASK0521,Bosco Masking 18Mm General,2026-01-01,,confirmed_order,1.0
acme,CUST-007,007857496,ACM-HEXB0639,hitex hex bolt m10x50,2026-01-01,,inferred_match,1.0
nordic,CUST-006,006390873,NRD-PRAW0308,PRAWN 1KG,2026-01-01,,inferred_match,0.55
