line_id,tenant,customer_id,channel,order_date,raw_text,qty,uom_text,unit_price,buyer_sku,raw_barcode,notes,gt_item_code
ACM-T-0001,acme,CUST-004,voice_note,2026-06-26,Tolsen Wall Plug 12mm Red,6,,,,,,ACM-WALL0029
ACM-T-0002,acme,CUST-003,email_pdf,2026-07-01,Vermmont  PVC  Pipe  20mmC  lass  E,24,unit,,,,,ACM-PVCP1070
ACM-T-0003,acme,CUST-002,whatsapp,2026-06-13,"item: Remax GRINDING DISC 5"" Grinding",5,ea,10.64,,,,ACM-ANGL0336
ACM-T-0004,acme,CUST-003,email_pdf,2026-04-25,- tolsen safety helmet red standard,5,nos,288.26,,,,ACM-SAFE0049
ACM-T-0005,acme,CUST-007,whatsapp,2026-05-18,Kanto Hose Clip 19-25mm Zinc,100,,,,,,ACM-HOSE0102
ACM-T-0006,acme,CUST-006,email_pdf,2026-05-06,- Stallion Angle Grinder Disc Flap,2,pcs,,,,,
ACM-T-0007,acme,CUST-005,portal_csv,2026-05-15,Kanto/Self/Drilling/Screw/#8/x/3/4''/Zinc/Plated/x6,3,case,15382.0,,,price quoted per outer,ACM-SELF0326
ACM-T-0008,acme,CUST-004,portal_csv,2026-04-11,"Kanto Ball Valve 1"" PVC",2,,,004784961,,,ACM-BALL0123
ACM-T-0009,acme,CUST-007,whatsapp,2026-07-12,"Remax/Ball/Valve/2""/SS304",50,,,,,,
ACM-T-0010,acme,CUST-001,email_pdf,2026-08-16,Vermont  GI  Wire  Soft,5,,,001245731,,,ACM-GIWI0811
ACM-T-0011,acme,CUST-001,voice_note,2026-08-13,need Kanto Grinder Disc Grinding,12,,,001959523,,,ACM-ANGL0886
ACM-T-0012,acme,CUST-003,portal_csv,2026-06-14,Stallion PVC 25mm E,3,pcs,,,,,
ACM-T-0013,acme,CUST-003,whatsapp,2026-08-23,Cadbury Dairy Milk 165g,2,unit,,,,,
ACM-T-0014,acme,CUST-006,voice_note,2026-05-14,same as last month order,,,,,,,
ACM-T-0015,acme,CUST-006,email_pdf,2026-07-14,"- Hitex Angle Grinder Disc 7"" Flap",3,,102.49,,,,
ACM-T-0016,acme,CUST-001,voice_note,2026-08-15,need Kanto Masking TTape 12mm HighTemp,6,,372.41,,,,ACM-MASK0163
ACM-T-0017,acme,CUST-007,portal_csv,2026-08-14,pls send Kanto Masking Tape 24Mm General,2,roll,,,,,ACM-MASK0183
