tenant,item_code,uom,conversion_factor,is_stock_uom
acme,ACM-BALL0511,Nos,1.0,1
acme,ACM-BALL0511,Carton,24.0,0
acme,ACM-HEXB1049,Pcs,1.0,1
acme,ACM-HEXB1049,Carton,24.0,0
acme,ACM-HEXB0883,Pcs,1.0,1
acme,ACM-HEXB0883,Carton,100.0,0
acme,ACM-PVCP1029,Length,1.0,1
acme,ACM-ANGL0886-OLD,Packet,1.0,1
acme,ACM-ANGL0886-OLD,Carton,10.0,0
acme,ACM-SELF0149,Packet,1.0,1
acme,ACM-SELF0149,Carton,6.0,0
acme,ACM-SAFE0582,Nos,1.0,1
acme,ACM-SAFE0582,Carton,12.0,0
acme,ACM-HEXB0936,Pcs,1.0,1
acme,ACM-HEXB0936,Carton,6.0,0
acme,ACM-PVCP0949,Length,1.0,1
acme,ACM-HEXB0987,Pcs,1.0,1
acme,ACM-HEXB0987,Carton,12.0,0
acme,ACM-SAFE0135,Nos,1.0,1
acme,ACM-SAFE0135,Carton,24.0,0
acme,ACM-HEXB0972,Pcs,1.0,1
acme,ACM-HEXB0972,Carton,100.0,0
acme,ACM-HOSE0191-OLD,Pcs,1.0,1
acme,ACM-HOSE0191-OLD,Carton,12.0,0
acme,ACM-WALL0580,Packet,1.0,1
acme,ACM-WALL0580,Carton,24.0,0
acme,ACM-HEXB0365,Pcs,1.0,1
acme,ACM-HEXB0365,Carton,24.0,0
acme,ACM-PVCP0297,Length,1.0,1
acme,ACM-NITR0589,Box,1.0,1
acme,ACM-PVCP1055,Length,1.0,1
acme,ACM-HEXB0077,Pcs,1.0,1
acme,ACM-HEXB0077,Carton,10.0,0
acme,ACM-HEXB0176,Pcs,1.0,1
acme,ACM-HEXB0176,Carton,24.0,0
acme,ACM-HEXB0965,Pcs,1.0,1
acme,ACM-HEXB0965,Carton,100.0,0
acme,ACM-ANGL0454,Packet,1.0,1
acme,ACM-ANGL0454,Carton,24.0,0
acme,ACM-NITR0092,Box,1.0,1
acme,ACM-GIWI0644,Kg,1.0,1
acme,ACM-NITR0344,Box,1.0,1
acme,ACM-GIWI0419,Kg,1.0,1
acme,ACM-NITR0935,Box,1.0,1
acme,ACM-ANGL0085,Packet,1.0,1
acme,ACM-ANGL0085,Carton,24.0,0
acme,ACM-PVCP0643B,Length,1.0,1
acme,ACM-PVCP0643B,Carton,144.0,0
acme,ACM-CABL0248,Packet,1.0,1
acme,ACM-CABL0248,Carton,6.0,0
acme,ACM-CABL0775,Packet,1.0,1
acme,ACM-CABL0775,Carton,50.0,0
acme,ACM-HEXB0608,Pcs,1.0,1
acme,ACM-HEXB0608,Carton,50.0,0
acme,ACM-CABL0555,Packet,1.0,1
acme,ACM-CABL0555,Carton,12.0,0
acme,ACM-SELF0081,Packet,1.0,1
acme,ACM-SELF0081,Carton,50.0,0
acme,ACM-GIWI0948,Kg,1.0,1
acme,ACM-HOSE0637,Pcs,1.0,1
acme,ACM-HOSE0637,Carton,50.0,0
acme,ACM-HEXB0943-OLD,Pcs,1.0,1
acme,ACM-HEXB0943-OLD,Carton,6.0,0
acme,ACM-WALL0257,Packet,1.0,1
acme,ACM-WALL0257,Carton,12.0,0
acme,ACM-HEXB1010,Pcs,1.0,1
acme,ACM-HEXB1010,Carton,24.0,0
acme,ACM-BALL0667,Nos,1.0,1
acme,ACM-BALL0667,Carton,24.0,0
acme,ACM-HEXB0606,Pcs,1.0,1
acme,ACM-HEXB0606,Carton,10.0,0
acme,ACM-CABL0786B,Packet,1.0,1
acme,ACM-CABL0786B,Carton,144.0,0
acme,ACM-SELF0590,Packet,1.0,1
acme,ACM-SELF0590,Carton,10.0,0
acme,ACM-HOSE0969,Pcs,1.0,1
acme,ACM-HOSE0969,Carton,50.0,0
acme,ACM-CABL0706,Packet,1.0,1
acme,ACM-CABL0706,Carton,100.0,0
acme,ACM-NITR0574,Box,1.0,1
acme,ACM-BALL0695,Nos,1.0,1
acme,ACM-BALL0695,Carton,10.0,0
acme,ACM-HEXB0826,Pcs,1.0,1
acme,ACM-HEXB0826,Carton,50.0,0
acme,ACM-GIWI0446,Kg,1.0,1
acme,ACM-CABL0921,Packet,1.0,1
acme,ACM-CABL0921,Carton,24.0,0
acme,ACM-SELF0276,Packet,1.0,1
acme,ACM-SELF0276,Carton,100.0,0
acme,ACM-PVCP0159,Length,1.0,1
acme,ACM-WALL0532,Packet,1.0,1
acme,ACM-WALL0532,Carton,12.0,0
acme,ACM-SELF0069,Packet,1.0,1
acme,ACM-SELF0069,Carton,50.0,0
acme,ACM-HEXB0008,Pcs,1.0,1
acme,ACM-HEXB0008,Carton,24.0,0
acme,ACM-PVCP0928,Length,1.0,1
acme,ACM-WALL0030,Packet,1.0,1
acme,ACM-WALL0030,Carton,24.0,0
acme,ACM-GIWI0968,Kg,1.0,1
acme,ACM-PVCP0996,Length,1.0,1
acme,ACM-HOSE0424,Pcs,1.0,1
acme,ACM-HOSE0424,Carton,6.0,0
acme,ACM-GIWI0889,Kg,1.0,1
acme,ACM-MASK0269,Roll,1.0,1
acme,ACM-MASK0269,Carton,100.0,0
acme,ACM-CABL0015,Packet,1.0,1
acme,ACM-CABL0015,Carton,100.0,0
acme,ACM-MISC001,Nos,1.0,1
acme,ACM-ANGL0067,Packet,1.0,1
acme,ACM-ANGL0067,Carton,24.0,0
acme,ACM-PVCP1037,Length,1.0,1
acme,ACM-ANGL0477,Packet,1.0,1
acme,ACM-ANGL0477,Carton,6.0,0
acme,ACM-PVCP0941,Length,1.0,1
acme,ACM-SELF0129,Packet,1.0,1
acme,ACM-SELF0129,Carton,10.0,0
acme,ACM-WALL0592,Packet,1.0,1
acme,ACM-WALL0592,Carton,24.0,0
acme,ACM-BALL0510,Nos,1.0,1
acme,ACM-BALL0510,Carton,12.0,0
acme,ACM-HEXB0345,Pcs,1.0,1
acme,ACM-HEXB0345,Carton,24.0,0
acme,ACM-SELF0922,Packet,1.0,1
acme,ACM-SELF0922,Carton,12.0,0
acme,ACM-HEXB0387,Pcs,1.0,1
acme,ACM-HEXB0387,Carton,50.0,0
acme,ACM-PVCP0363,Length,1.0,1
acme,ACM-CABL0607,Packet,1.0,1
acme,ACM-CABL0607,Carton,24.0,0
acme,ACM-ANGL0765,Packet,1.0,1
acme,ACM-ANGL0765,Carton,100.0,0
acme,ACM-CABL0990,Packet,1.0,1
acme,ACM-CABL0990,Carton,10.0,0
acme,ACM-HEXB0246,Pcs,1.0,1
acme,ACM-HEXB0246,Carton,12.0,0
acme,ACM-NITR0925,Box,1.0,1
acme,ACM-CABL0958,Packet,1.0,1
acme,ACM-CABL0958,Carton,10.0,0
acme,ACM-HEXB0639,Pcs,1.0,1
acme,ACM-HEXB0639,Carton,12.0,0
acme,ACM-CABL0035,Packet,1.0,1
acme,ACM-CABL0035,Carton,6.0,0
acme,ACM-BALL0952,Nos,1.0,1
acme,ACM-BALL0952,Carton,50.0,0
acme,ACM-MASK0527,Roll,1.0,1
acme,ACM-MASK0527,Carton,12.0,0
acme,ACM-PVCP0392,Length,1.0,1
acme,ACM-BALL1017,Nos,1.0,1
acme,ACM-BALL1017,Carton,100.0,0
acme,ACM-HEXB0653,Pcs,1.0,1
acme,ACM-HEXB0653,Carton,24.0,0
acme,ACM-PVCP0151,Length,1.0,1
acme,ACM-WALL0842,Packet,1.0,1
acme,ACM-WALL0842,Carton,10.0,0
acme,ACM-CABL1080,Packet,1.0,1
acme,ACM-CABL1080,Carton,6.0,0
acme,ACM-SELF0302,Packet,1.0,1
acme,ACM-SELF0302,Carton,10.0,0
acme,ACM-SELF0989,Packet,1.0,1
acme,ACM-SELF0989,Carton,100.0,0
acme,ACM-SAFE0624,Nos,1.0,1
acme,ACM-SAFE0624,Carton,10.0,0
acme,ACM-HEXB0130,Pcs,1.0,1
acme,ACM-HEXB0130,Carton,12.0,0
acme,ACM-ANGL0444,Packet,1.0,1
